,hidden_units,num_layers,num_epochs,sequence_length,downside_dev_list,cum_ret_list,std_downside_deviation,overall_downside_deviation,overall_cumulative_return
17,100,3,10,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.0041544184335091236]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.342117723320093]",0.004533343826324194,0.011960969305139194,8.697081967312545
18,100,3,20,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.0028042770721724273]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.1891018910893743]",0.00460017419903576,0.01196559950106141,8.001183743597002
19,100,3,20,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.004278601821606186]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.373390938607072]",0.004507729919140901,0.01194164566748731,9.589775841252878
20,100,3,20,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.004463591782018371]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.4644942203483466]",0.0044868724523013616,0.011972084345118506,9.490096176896506
21,100,3,30,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.0033521353844256077]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.2250186931870366]",0.004503904591561335,0.011979662633020674,8.242859360480036
22,100,3,30,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.0038010179179529422]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.3242984351719531]",0.004581278279694995,0.011925504202800438,9.246984804706349
23,100,3,30,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.003668240709279062]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.2456473024390753]",0.004609248815868505,0.011945085972420581,8.071942202562381
24,100,4,5,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.008192302484387366]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.4817979653067745]",0.003858641983320186,0.01221028630284056,9.970665996036624
25,100,4,5,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.007859034930747483]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.5393779423449068]",0.004076235042275867,0.012121952437204457,10.748788991595541
26,100,4,5,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.007874863818749443]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.5236625344201238]",0.004080343298625313,0.01214631667104042,9.873513867020547
27,100,4,10,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.006982192086156252]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.5739230557270185]",0.003980308388916775,0.012134980164276334,10.590553813364524
28,100,4,10,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.004038528196014343]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.321100152959996]",0.004544285646054325,0.01193329582036703,9.22465262773652
29,100,4,10,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.004110844740947933]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.3059512778994262]",0.004540007428976995,0.011959466121432208,8.46271911312732
30,100,4,20,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.003617754767843686]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.1427717940555402]",0.004458662806371945,0.011987374810715773,7.6894395423605735
31,100,4,20,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.003468141651233586]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.2297398106479784]",0.004634471194610694,0.01191537097657379,8.586724140716669
32,100,4,20,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.0038030793878017265]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.284900283524142]",0.004587858183919119,0.011949295333009202,8.326306173789648
33,100,4,30,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.004470614492092788]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.2747634435423598]",0.0043201375466593,0.012016067465451322,8.577579951587383
34,100,4,30,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.004038528196014343]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.3310146448140754]",0.004544285646054325,0.01193329582036703,9.293881098514825
35,100,4,30,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.0031541638079009026]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.1610478474613786]",0.004693106107489325,0.011930419925725341,7.523727704276141
36,300,2,5,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.005116677681157818]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.5759905970986234]",0.004222502597760729,0.012041772607616944,10.604465807396034
37,300,2,5,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.004164592305256685]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.3672467231092602]",0.004524983905023451,0.011937621001991123,9.546873527215386
38,300,2,5,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.007611543566136061]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.5527948722908809]",0.004104076271185784,0.012129545616672207,10.062294870325282
39,300,2,10,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010276023975028126, 0.016009751000240414, 0.004397687160871239]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.4376776990565392, 0.7138618570251167, 1.252759224488052]",0.004331565057015477,0.012013380310737943,8.429518796267399
40,300,2,10,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010360430154806427, 0.016108132759259167, 0.002939923300908909]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3561792833243005, 0.7150125829181991, 1.2821837742015436]",0.0047219851613518726,0.011901181564857734,8.952916927175277
41,300,2,10,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.01039059328677824, 0.016105730029370328, 0.0038030793878017265]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3355829127134795, 0.7339257823907172, 1.284900283524142]",0.004587858183919119,0.011949295333009202,8.326306173789648
42,300,2,20,10,"[0.009237638155220253, 0.012182029302198196, 0.009568027841508928, 0.006730400374372194, 0.014521880850135432, 0.009292550380890585, 0.01987394460240044, 0.010195271586695719, 0.016009751000240414, 0.004406297116651804]","[1.3722418250671118, 0.9164072007838004, 1.2255740171076586, 1.4876511674723234, 0.8599581932090686, 2.03316053932092, 1.6355003905004115, 1.3381979487624018, 0.7138618570251167, 1.3097587080430841]",0.004332020567592981,0.012006824228187139,8.203237632134986
43,300,2,20,20,"[0.00800187299119677, 0.012736767062280838, 0.008540424400719147, 0.006776027301664141, 0.014566658017883082, 0.009305710182024496, 0.019948047197206185, 0.010352270587959582, 0.016108132759259167, 0.0025648866923685754]","[1.635236282141906, 0.8030897353780136, 1.2953555319072327, 1.4525762822099848, 0.8857885973299026, 1.985333387303117, 1.6570951017492757, 1.3028450227134265, 0.7150125829181991, 1.2226807110048623]",0.004786425434815524,0.011891809352141023,8.201683219983954
44,300,2,20,30,"[0.008035493805797062, 0.012940252844998347, 0.008272499696882556, 0.007084990794566309, 0.01454296319872373, 0.009192408057672028, 0.020006861172961885, 0.010382424606345987, 0.016105730029370328, 0.0027169577618266407]","[1.6213116949313195, 0.7511465961684682, 1.3588799319289961, 1.2971024969066909, 0.9335245170465029, 2.0326295969541794, 1.6230405880891727, 1.3122906828479026, 0.7339257823907172, 1.2745422999754885]",0.004767282969316263,0.011918963985082697,8.11514710088432
45,300,2,30,10,"[0.009237632902369501, 0.012182029302198196, 0.009385942433689513, 0.006730400374372194, 0.014521880850135432, 0.009219112217832667, 0.01987394460240044, 0.008498935744283884, 0.015773228469665935, 0.0043388714135713415]","[1.3622814668369139, 0.9164072007838004, 1.2506700156107937, 1.4876511674723234, 0.8599581932090686, 2.0870619511980775, 1.6355003905004115, 1.2913023664000662, 0.7409699451847789, 1.2955876404101259]",0.004393903659817854,0.011819755900716223,8.45196819144516
