Date,Open,High,Low,Close,Adj Close,Volume,Diff,Label,Open_fdiff,High_fdiff,Low_fdiff,Close_fdiff,Adj Close_fdiff,Volume_fdiff
2014-01-03,177.65774536132812,179.11090087890625,177.1510467529297,178.43212890625,116.2093276977539,4250107,1.061187744140625,1,177.65774536132812,179.11090087890625,177.1510467529297,178.43212890625,116.2093276977539,4250107.0
2014-01-06,178.91969299316406,179.12045288085938,177.1510467529297,177.8202667236328,115.81078338623047,4254919,-0.6118621826171875,0,90.0908203125,89.56500244140625,88.57552337646484,88.60420227050781,57.706119537353516,2129865.5
2014-01-07,178.193115234375,181.97897338867188,178.18356323242188,181.3671112060547,118.12076568603516,6205186,3.546844482421875,1,66.52605056762695,70.0298843383789,67.46415901184082,70.15296173095703,45.689208030700684,3546463.125
2014-01-08,181.0038299560547,181.08985900878906,179.0248565673828,179.70362854003906,117.03742218017578,4815470,-1.663482666015625,0,58.43870162963867,56.51588439941406,56.71725368499756,55.64053153991699,36.237608432769775,915380.4375
2014-01-09,180.70745849609375,181.16635131835938,178.34608459472656,179.1395721435547,116.67005920410156,4520080,-0.564056396484375,0,49.8091676235199,49.68250226974487,48.568807721138,48.53309726715088,31.60865157842636,904744.5078125
2014-01-10,180.0286865234375,180.27725219726562,178.08795166015625,179.0248565673828,116.59532928466797,4207430,-0.114715576171875,0,44.065529346466064,43.78970193862915,43.63639289140701,43.83156478404999,28.54661652445793,675210.48828125
2014-01-13,178.06883239746094,178.72848510742188,175.77438354492188,176.06118774414062,114.6651840209961,6050796,-2.9636688232421875,0,38.656941801309586,38.946397602558136,37.81084378063679,37.31865781545639,24.304930470883846,2635208.2080078125
2014-01-14,176.92160034179688,178.23135375976562,175.7935028076172,177.74378967285156,115.76097106933594,4831683,1.6826019287109375,1,35.614551335573196,36.40031456947327,36.14585643261671,37.638103768229485,24.512905795127153,484331.64794921875
2014-01-15,177.64817810058594,180.35372924804688,177.33270263671875,179.48374938964844,116.8941879272461,5038059,1.739959716796875,1,34.805535580031574,36.63804087601602,35.64389294432476,36.58299048990011,23.825772585114464,1043206.9194641113
2014-01-16,179.28298950195312,180.67877197265625,178.5850830078125,180.45889282226562,117.52928924560547,4989734,0.9751434326171875,1,34.376863826066256,34.111416606232524,34.33091069967486,34.72123560635373,22.613256023614667,899805.6533355713
2014-01-17,179.7705535888672,182.41873168945312,179.5984649658203,181.73040771484375,118.35740661621094,7996252,1.271514892578125,1,34.079551556380466,35.51466853218153,34.60878600063734,35.300037995679304,22.99021941155661,3920291.4677581787
2014-01-21,181.86424255371094,182.0172119140625,178.57553100585938,180.14340209960938,117.3238525390625,11585810,-1.587005615234375,0,35.76792409690097,34.12911308463663,32.88288025651127,32.85646925796755,21.398799320566468,6005037.864227295
2014-01-22,173.30784606933594,175.43020629882812,171.76864624023438,174.2351837158203,113.47593688964844,14430721,-5.9082183837890625,0,26.028894267743453,27.490532322088256,26.37318172841333,27.49605214386247,17.907639042590745,6693912.5054626465
2014-01-23,173.4512481689453,175.64053344726562,172.76290893554688,174.69407653808594,113.7748031616211,7294699,0.458892822265625,1,30.141810386441648,30.911030466202646,30.792080567451194,30.963195295305923,20.16572010749951,-2502307.9103393555
2014-01-24,173.27915954589844,174.7705535888672,171.73995971679688,171.73995971679688,111.85082244873047,7207568,-2.9541168212890625,0,30.809616435784847,30.70196442073211,30.11419583298266,28.518271601991728,18.57336678134743,277179.3062438965
2014-01-27,171.71128845214844,171.74952697753906,169.84703063964844,170.07647705078125,110.76747131347656,5448196,-1.663482666015625,0,29.74069034284912,28.451973256189376,29.02064317651093,28.633244330063462,18.648299299529754,-953342.8303527832
2014-01-28,170.21987915039062,170.602294921875,168.41299438476562,169.07266235351562,110.1136474609375,5578632,-1.003814697265625,0,29.28941287100315,29.115857725497335,28.831341417273507,28.99301361455582,18.8825322734192,254110.8554840088
