Date,Open,High,Low,Close,Adj Close,Volume,Diff,Label,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Close_diff,Volume_diff
2014-01-02,178.97705078125,179.15870666503906,177.05545043945312,177.37094116210938,115.51818084716797,4755639,,0,-3328936.9495788566,4755639,,,,,,,,1000.0,,,,,,0.0,0.0,,179.96495564778647,175.7584431966146,,0.3833336960753707,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,178.1070785522461,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,177.37094116210938,4755639.0
2014-01-03,177.65774536132812,179.11090087890625,177.1510467529297,178.43212890625,116.20930480957031,4250107,1.061187744140625,1,-2022777.1282523333,9005746,,,1.1018835784280745,,25427.84872277459,,,1005.9828726012721,,,,,,0.0,0.0,,180.07808430989584,176.01497395833334,,0.5949026087827326,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,178.1070785522461,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.598287260127206,0.5965046285371756,0.598287260127206,63.14101715087892,1158941.6500000004
2014-01-06,178.91969299316406,179.12045288085938,177.1510467529297,177.8202667236328,115.8108139038086,4254919,-0.6118621826171875,0,-3385985.040181796,4750827,,,0.22105909866299123,,10837.292402241068,,,1005.9828726012721,,,,,,0.0,0.0,,180.05205451117624,176.03037685818143,,0.44506049959486776,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,178.1070785522461,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,179.15870666503906,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.34291031910439473,-0.34349960407071833,0.2533253522699397,41.66343837738037,951395.5137499999
2014-01-07,178.193115234375,181.97897338867188,178.18356323242188,181.3671112060547,118.12078094482422,6205186,3.546844482421875,1,818511.4463259876,10956013,,,118.99789385814232,,134607.37852356868,,,1005.9828726012721,,,,,,0.0,0.0,,181.11536407470703,176.20140075683594,,1.0512309748898823,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,179.5172119140625,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,177.1510467529297,,1.0,0.0,,,,,,,,,,,,,,,,,,,1.9946233057530849,1.9749913218121584,2.2530015445387797,36.408108121871976,2712609.7074375004
2014-01-08,181.0038299560547,181.08985900878906,179.0248565673828,179.70362854003906,117.03738403320312,4815470,-1.663482666015625,0,-831242.1306550663,6140543,,,-1.0253472092471745,,90440.3251893099,,,996.7560890915563,,,,,,0.0,0.0,,181.29318135579427,176.5360097249349,,0.6658617895045208,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,179.5172119140625,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,177.1510467529297,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.9171909145786139,-0.9214230079074959,1.315146304488346,27.120440975594533,-62464.98520859331
2014-01-09,180.70745849609375,181.16635131835938,178.34608459472656,179.1395721435547,116.67002868652344,4520080,-0.564056396484375,0,-2807855.46514262,1620463,,,-18.789372003615547,,76252.63149979123,,,993.6274563958532,,,,,,0.0,0.0,,181.4728071424696,176.5684085422092,,0.5242566542631688,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,179.5172119140625,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,177.24760528564454,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.31388147310487113,-0.31437511423666464,0.9971368307894801,23.659811434025528,242754.07243039832
2014-01-10,180.0286865234375,180.27725219726562,178.08795166015625,179.0248565673828,116.59532928466797,4207430,-0.114715576171875,0,-3414170.1801511925,-2586967,,,-29.847623794744347,,73558.32029385607,,,992.991167357107,,,,,,0.0,0.0,,181.4508805047898,176.62159583682106,,0.4976432113231777,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,179.5172119140625,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,177.3422326477051,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.06403698233684585,-0.06405749476980915,0.9324613121164171,21.325420403503387,120930.17906852718
2014-01-13,178.06883239746094,178.72848510742188,175.77438354492188,176.06118774414062,114.66513061523438,6050796,-2.9636688232421875,0,-8290061.618002432,-8637763,,,-94.28288826974209,,-26609.644115315023,,,992.991167357107,,,,,,0.0,0.0,,181.24561882019043,176.28146934509277,,-0.04437448994176691,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,178.87667846679688,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,181.97897338867188,0.0,1.0,,,,,,,,,,,,,,,,,,,-1.6554510251076238,-1.6693067448642296,-0.7384261533413761,16.495528487559028,2167798.959875432
2014-01-14,176.92160034179688,178.23135375976562,175.7935028076172,177.74378967285156,115.76099395751953,4831683,1.6826019287109375,1,-5391027.6243554335,-3806080,,,-12.059174996170913,,19566.342988295597,,,1002.4811002309898,,,,,,0.0,0.0,,181.07322410300924,176.11890213577834,,0.32797374652285954,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,178.87667846679688,,,178.87667846679688,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,181.85488159179687,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9556915696582458,0.9511537267225201,0.21020833982123843,18.550254555689094,-232890.57630097866
2014-01-15,177.64817810058594,180.35372924804688,177.33270263671875,179.48374938964844,116.89422607421875,5038059,1.739959716796875,1,-3254637.771517354,1231979,,,109.78152968430602,,68884.63268483244,,,1002.4811002309898,,,,,,0.0,0.0,178.64212951660156,181.17367706298828,176.11058197021484,2.834211116086653,0.6662263610746963,0.0,0.0,,,,,,2.6252395629882814,,,,,,,,,,,,,,,,,,178.87667846679688,,,178.87667846679688,,0.0,0.0,0.0,,140.25664989099306,140.6914291442483,,,,,181.73327163085938,0.0,0.0,,,,,,,,,,,,,,,,,,179.48374938964844,0.9789144925959947,0.9741541658181418,1.1911805923203955,18.251943454295088,550633.6145526972
