start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-01-02,2015-01-02,4:00:00.019,9:44:37.205,111.0,111.5,110.38,110.8605,4498549,500003137.96720165
2015-01-02,2015-01-02,9:44:37.206,9:54:02.868,110.8649,110.89,108.65,108.765,4559194,500002044.1841007
2015-01-02,2015-01-02,9:54:02.869,10:13:26.413,108.765,109.9157,108.7001,109.295,4573792,500013342.7799012
2015-01-02,2015-01-02,10:13:26.413,10:37:56.930,109.295,109.47,108.56,108.6,4586328,500017257.8839014
2015-01-02,2015-01-02,10:37:56.931,10:50:06.901,108.6,108.62,107.35,108.13,4628409,500009361.39880145
2015-01-02,2015-01-02,10:50:06.901,11:22:24.575,108.13,108.49,107.85,108.035,4622241,500009999.5066027
2015-01-02,2015-01-02,11:22:24.575,12:09:13.817,108.04,108.95,108.02,108.8901,4606460,500029459.6809028
2015-01-02,2015-01-02,12:09:14.436,13:01:31.164,108.9,109.595,108.8684,109.37,4577127,500008812.2203008
2015-01-02,2015-01-02,13:01:39.178,14:13:57.789,109.37,109.47,108.75,109.13,4584173,500045066.4153002
2015-01-02,2015-01-02,14:13:57.789,15:28:44.973,109.12,109.97,108.69,108.9843,4583692,500049131.30870026
2015-01-02,2015-01-02,15:28:45.604,15:59:21.432,108.9878,109.55,108.91,109.36,4575234,500043918.62349933
2015-01-02,2015-01-02,15:59:21.457,16:00:00.019,109.36,109.37,109.27,109.33,5077375,555155936.8724992
2015-01-02,2015-01-05,16:00:00.037,9:36:27.984,109.3,120.02,107.82,108.5,4107439,500455322.6146011
2015-01-05,2015-01-05,9:36:28.111,9:54:35.331,108.48,108.52,107.41,107.7,4626883,500002954.07240117
2015-01-05,2015-01-05,9:54:35.332,10:25:00.750,107.7,108.1,107.33,108.095,4637728,500004360.4943008
2015-01-05,2015-01-05,10:25:01.228,11:01:45.582,108.09,108.19,107.4,107.459,4643096,500002333.14350384
2015-01-05,2015-01-05,11:01:45.896,11:25:55.058,107.44,108.3,106.66,106.94,4668848,500004843.9330006
2015-01-05,2015-01-05,11:25:55.058,12:04:46.592,106.94,107.6977,106.54,106.8599,4681671,500087996.8245028
2015-01-05,2015-01-05,12:04:46.966,12:57:34.053,106.85,106.98,106.47,106.49,4685319,500022182.2575026
2015-01-05,2015-01-05,12:57:34.058,13:59:45.812,106.49,106.75,106.3,106.405,4694693,500169652.3231045
2015-01-05,2015-01-05,13:59:45.888,14:33:18.689,106.42,106.5387,105.74,105.81,4716785,500452965.4409046
2015-01-05,2015-01-05,14:33:18.891,15:11:39.119,105.81,105.99,105.41,105.9,4740438,501494564.13620657
2015-01-05,2015-01-05,15:11:39.521,15:48:18.587,105.92,106.94,105.7424,106.11,4701364,500010407.3449105
2015-01-05,2015-01-05,15:48:18.587,16:00:00.076,106.11,106.7017,106.08,106.25,11067091,1176193091.586013
2015-01-05,2015-01-05,16:00:00.076,16:00:00.076,106.25,106.25,106.25,106.25,7383984,1460741391.586013
2015-01-05,2015-01-05,16:00:00.655,16:00:00.655,106.258,106.258,106.258,106.258,100,960752017.386013
2015-01-05,2015-01-05,16:00:00.723,16:21:59.919,106.25,109.5651,106.0545,106.25,375189,500636113.46871287
2015-01-05,2015-01-06,16:22:05.585,9:31:49.257,106.45,107.22,105.85,106.38,4694625,500008640.8558138
2015-01-06,2015-01-06,9:31:49.257,9:49:39.177,106.38,106.65,105.28,105.93,4722290,500009785.0381129
2015-01-06,2015-01-06,9:49:39.178,10:15:36.046,105.93,106.35,105.5,106.259,4725355,500083018.6390149
2015-01-06,2015-01-06,10:15:36.052,10:38:40.281,106.259,107.2,105.46,106.95,4683065,500004408.68231624
2015-01-06,2015-01-06,10:38:40.281,11:10:02.175,106.95,106.96,105.71,105.9203,4706506,500018389.382716
2015-01-06,2015-01-06,11:10:02.467,11:37:03.588,105.9225,105.99,104.63,104.74,4746391,500244337.8346161
2015-01-06,2015-01-06,11:37:03.597,12:11:54.937,104.74,105.58,104.7,105.5664,4753963,500104954.218216
2015-01-06,2015-01-06,12:11:55.373,12:48:14.531,105.565,105.98,104.871,105.72,4739781,500010082.4050167
2015-01-06,2015-01-06,12:48:14.534,13:28:28.162,105.72,106.38,105.13,105.5,4726541,500006629.2622159
2015-01-06,2015-01-06,13:28:28.162,14:10:33.585,105.5,106.44,105.4501,106.061,4717912,500277425.23101646
2015-01-06,2015-01-06,14:10:33.663,14:46:16.183,106.04,106.7143,105.84,106.6,4702796,500001825.19521636
