Date,Open,High,Low,Close,Adj Close,Volume,Diff,Label,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Close_diff,Volume_diff
2014-01-02,19.845714569091797,19.89392852783203,19.71500015258789,19.754642486572266,17.296659469604492,234684800,,0,-130693991.27598338,234684800,,,,,,,,1000.0,,,,,,0.0,0.0,,19.966785430908203,19.608928680419922,,0.4071847351028675,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.80446434020996,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,19.754642486572266,234684800.0
2014-01-03,19.7450008392334,19.774999618530273,19.301071166992188,19.320714950561523,16.916723251342773,392467600,-0.4339275360107422,0,-490626939.400342,-157782800,,,-0.03217291274726854,,-8620884.875431627,,,1000.0,,,,,,0.0,0.0,,19.95315456390381,19.300297737121582,,0.03127364623048045,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.59749984741211,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-2.1965851131231284,-2.2210692513174646,-2.1965851131231284,7.467929458618162,251656719.99999997
2014-01-06,19.194643020629883,19.5285701751709,19.05714225769043,19.426071166992188,17.00896453857422,412610800,0.10535621643066406,1,-257437833.3460622,254828000,,,-0.028012913987490284,,-6370910.541786935,,,1000.0,,,,,,0.0,0.0,,19.904999415079754,19.155476252237957,,0.36102275175629966,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.47553539276123,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.89392852783203,0.0,1.0,,,,,,,,,,,,,,,,,,,0.5453018519255171,0.5438204642929545,-1.6632612804985736,5.4630850982666,148968063.99999997
2014-01-07,19.440000534057617,19.498571395874023,19.211429595947266,19.28714370727539,16.8873291015625,317209200,-0.13892745971679688,0,-407362348.9898896,-62381200,,,0.005625379170917197,,-8639463.352901801,,,992.848401587612,,,,,,0.0,0.0,,19.833630402882893,19.127917130788166,,0.22562502759031547,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.47553539276123,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.8771928024292,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.7151598412387994,-0.71772936737311,-2.3665261450043773,4.206755233764648,9404259.199999988
2014-01-08,19.243213653564453,19.484285354614258,19.238929748535156,19.409286499023438,16.994279861450195,258529600,0.12214279174804688,1,-306884357.8053937,196148400,,,0.0006270377345009684,,-7002231.4448098885,,,999.1359720746174,,,,,,0.0,0.0,,19.791475550333658,19.128762690226235,,0.423296159896053,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.47553539276123,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.860791791534425,0.0,0.0,,,,,,,,,,,,,,,,,,,0.6332860562550335,0.6312892261069791,-1.7482269688432805,3.760155709838866,-11172810.879999995
2014-01-09,19.5285701751709,19.53071403503418,19.11964225769043,19.161428451538086,16.77726173400879,279148800,-0.24785804748535156,0,-529281191.302053,-83000400,,,-0.005364558381851508,,-10566982.602940295,,,999.1359720746174,,,,,,0.0,0.0,,19.773174073961044,19.08388943142361,,0.11249201756335987,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.47553539276123,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.844718800857546,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.277007516468065,-1.2852313450771646,-3.0029094955142943,3.013009228027343,44310741.529599965
2014-01-10,19.27964210510254,19.314285278320312,18.96821403503418,19.033571243286133,16.665302276611328,304976000,-0.12785720825195312,0,-719064840.9953417,-387976400,,,-0.02087126891986546,,-12601975.977388721,,,999.1359720746174,,,,,,0.0,0.0,,19.72721036275228,19.0375174567813,,-0.005721696513044285,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.431071281433105,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.828967269994205,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.6672634484183759,-0.6694996038827838,-3.650135626480022,2.7023710726806627,61936439.43423998
2014-01-13,18.925357818603516,19.375,18.924285888671875,19.133214950561523,16.752548217773438,378492800,0.09964370727539062,1,-746656066.5894916,-9483600,,,0.0009994835273506963,,-10620507.272069111,,,999.1359720746174,,,,,,0.0,0.0,,19.710669199625652,18.99450937906901,,0.19367963338784056,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.409107208251953,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.794537140595803,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5235155610145314,0.5221499822395614,-3.1457290934682414,2.6558259545507816,117836848.288768
2014-01-14,19.222143173217773,19.526071548461914,19.2021427154541,19.51392936706543,17.085895538330078,332561600,0.38071441650390625,1,-439026012.4183107,323078000,,,0.020889704048328423,,-4003166.912764242,,,1019.0168687038213,,,,,,0.0,0.0,,19.713703367445206,19.0051326751709,,0.7180605935893861,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,19.409107208251953,,,19.409107208251953,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,,19.74232206548037,0.0,0.0,,,,,,,,,,,,,,,,,,,1.9898089133877361,1.9702709690736508,-1.2185141779733843,2.804620762043946,22889360.505446374
2014-01-15,19.768571853637695,20.007143020629883,19.7021427154541,19.90571403503418,17.42892837524414,391638800,0.39178466796875,1,-307869090.8283965,714716800,,,0.038201922078517685,,3859835.680687976,,,1019.0168687038213,,,,,,0.0,0.0,19.410642878214517,19.759999720255532,19.061286036173502,3.5996421574796433,1.2085465307153487,1.0,0.0,,,,,,0.37507095336914065,,,,,,,,,,,,,,,,,,19.46571445465088,,,19.46571445465088,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,18.924285888671875,,1.0,0.0,,,,,,,,,,,,,,,,,,19.90571403503418,2.00771797724133,1.9878290877161309,0.7647394710615485,2.8062144982400383,97616125.21959424
2014-01-16,19.81785774230957,19.887500762939453,19.702856063842773,19.79464340209961,17.331684112548828,229278000,-0.11107063293457031,0,-309197764.97386116,485438800,,,-0.004788857341724758,,2580501.8907444426,,,1013.3309210217268,,,,,,0.0,0.0,19.411357180277506,19.761285654703777,19.061428705851235,3.605399366735761,1.0476636653397882,1.0,0.0,,,,,,0.3578496551513672,,,,,,,,,,,,,,,,,,19.46571445465088,,,19.46571445465088,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,18.945943031311035,,0.0,0.0,,,,,,,,,,,,,,,,,,19.90507803304307,-0.5579836660924875,-0.5595462101552151,0.2024886836323736,2.4211153821509726,-99468564.63839233
2014-01-17,19.695714950561523,19.716785430908203,19.282142639160156,19.309642791748047,16.907032012939453,426739600,-0.4850006103515625,0,-681937140.70649,58699200,,,-0.030119099087381584,,-7875304.877627464,,,1013.3309210217268,,,,,,0.0,0.0,19.408416684468587,19.754416592915852,19.062416776021323,3.5654624905507957,0.35726312303982144,0.0,0.0,,,,,,0.37331476593017576,,,,,19.420833587646484,,19.495769349797204,,,,,,,,,,,19.46571445465088,,,19.46571445465088,,0.0,0.0,0.0,,77.78759901325466,76.06902681511423,,,,18.96716703109741,,0.0,0.0,,,,,,,,,,,,,,,,,,19.902362473456236,-2.4501608869605507,-2.4806768197220386,-2.2526335018550503,1.9371112120443357,189060342.3305318
