Symbol,D_value,Mean_ADF_p_value,Mean_KPSS_p_value,STD_ADF_p_value,STD_KPSS_p_value,Pass_Ratio,Valid_Windows
IBM,0.59,0.053388285965857006,0.03939361735403325,0.1584809976467347,0.009003242841273554,0.058705267390430235,2487
IBM,0.6,0.05336295862485121,0.040073496054929804,0.158619101776746,0.008933021058609327,0.06875753920386007,2487
IBM,0.61,0.05345498279325462,0.040800295225218754,0.15836769276531507,0.008929050099425281,0.0792119018898271,2487
IBM,0.62,0.05334495614397687,0.04163957262066986,0.15815365529519365,0.008928732471304622,0.09087253719340571,2487
IBM,0.63,0.05345109489463633,0.042494902302256776,0.15860907486459574,0.0089598766438997,0.10414153598713309,2487
IBM,0.64,0.05349942219673595,0.04338641952525618,0.15946778070314224,0.009000229489661695,0.1158021712907117,2487
IBM,0.65,0.05319589125343045,0.04431045897313876,0.15931655259628438,0.009040465949607446,0.14153598713309207,2487
IBM,0.66,0.05367559971319359,0.04527562286624144,0.1603945098849386,0.009099809283483263,0.16686771210293527,2487
IBM,0.67,0.05488542616402297,0.04628032883813972,0.16188448086039328,0.00919156887026578,0.19782870928829915,2487
IBM,0.68,0.054650695376584325,0.04733607313504497,0.1625118189243833,0.009306962906300877,0.22718134298351428,2487
IBM,0.6900000000000001,0.05466671786068392,0.04843763007277045,0.16340575806898072,0.009429680635996732,0.26497788500201047,2487
IBM,0.7000000000000001,0.05423361847830174,0.049591372318747856,0.1626666850136303,0.009568576824159103,0.3047848813831926,2487
IBM,0.7100000000000001,0.05407628225663195,0.050795612010286956,0.16263352241248621,0.009707573394291404,0.35826296743063935,2487
IBM,0.72,0.0541037735693832,0.05208854355540716,0.1626674915264116,0.009874007672097413,0.41053478086047446,2487
IBM,0.73,0.05493911294481768,0.05342248131898619,0.16373166660080163,0.010007812148098061,0.4684358665058303,2487
IBM,0.74,0.05410296718927417,0.05481765706608543,0.16266685584273838,0.010137763861522448,0.523924406915963,2487
IBM,0.75,0.054416701710284295,0.05625453023713,0.16338201817307127,0.010226853868887166,0.5782066747084841,2487
IBM,0.76,0.054817264332144414,0.05776214193985798,0.16372164621701354,0.01033982577270421,0.6308805790108565,2487
IBM,0.77,0.05590274837838701,0.05940741172201226,0.16481475243059446,0.01046557310571853,0.6747084841174106,2487
IBM,0.78,0.055676325388511215,0.06098271874606676,0.16473014494106109,0.010487183292932358,0.7157217531162042,2487
IBM,0.79,0.057118488912217304,0.062406743131121364,0.16718684778642287,0.010467805052115106,0.7511057498994773,2487
IBM,0.8,0.05712135190626626,0.06337539230919491,0.16765110962824403,0.01047802837974981,0.7631684760755931,2487
IBM,0.81,0.057066703136566484,0.06355707209499624,0.16820223211069033,0.01067956628943246,0.7595496582227583,2487
IBM,0.8200000000000001,0.05877572206616512,0.06277405548897802,0.17029799599772527,0.011058749484059325,0.7265782066747085,2487
IBM,0.8300000000000001,0.059150675531714214,0.0616061935776204,0.17100438360089315,0.010970146415993807,0.708886208283072,2487
IBM,0.8400000000000001,0.05955796893240067,0.06171882745611116,0.17168928053206928,0.010949615282413299,0.7112987535182951,2487
IBM,0.85,0.05996401233194133,0.06340054492630555,0.1708432122559623,0.01101601369454554,0.7498994772818657,2487
IBM,0.86,0.059535239377184676,0.0658508812889971,0.17057930743384825,0.010985987889556948,0.7848813831926015,2487
IBM,0.87,0.060382605684482206,0.06856172919020322,0.17206939378590866,0.01087185753034072,0.7993566546039405,2487
IBM,0.88,0.0607153451635184,0.07144104164721571,0.17268258990865984,0.010724186370408688,0.8122235625251307,2487
IBM,0.89,0.05894200723271666,0.07437811088673141,0.1689321867104857,0.010563753900370948,0.8190591073582629,2487
IBM,0.9,0.06023567454358012,0.07734588679577699,0.1693450186055844,0.010338129985542416,0.8222758343385606,2487
IBM,0.91,0.061550053299857306,0.08024039707211804,0.17093965731194677,0.009994128320739119,0.8226779252110977,2487
IBM,0.92,0.06084232089068773,0.08296695928026715,0.1704337227645404,0.009595575026173784,0.82951347004423,2487
IBM,0.93,0.06117849253975076,0.0852564711437385,0.17191811659309544,0.009230289238860013,0.8319260152794532,2487
IBM,0.9400000000000001,0.0617354443615795,0.08714223705322123,0.17437663084204666,0.008921137208533957,0.8311218335343787,2487
IBM,0.9500000000000001,0.058760375899979116,0.08871003912735269,0.17028947628232344,0.008572590659874499,0.841978287092883,2487
IBM,0.9600000000000001,0.05721085028611336,0.09097675948624655,0.16573173383753187,0.008011317222701465,0.8431845597104946,2487
IBM,0.97,0.05751753320042338,0.0937577532252258,0.1649716850587351,0.007217826198610438,0.843988741455569,2487
IBM,0.98,0.057867502004729066,0.09627970439686753,0.16400165923541718,0.005916251450367441,0.8403699236027342,2487
IBM,0.99,0.05564606999487278,0.0980546488369477,0.15836886579194576,0.004531855411488937,0.8451950140731805,2487
IBM,1.0,0.05597098431934716,0.09397595590511457,0.16794785073653803,0.01668875837145685,0.7905106554081223,2487
IBM,1.01,0.056788847045830294,0.0995699612336561,0.16397824149286935,0.0024879866107774314,0.8476075593084037,2487
IBM,1.02,0.05628906107182437,0.09979589115246906,0.1623965999810722,0.0018964425535082947,0.8468033775633294,2487
IBM,1.03,0.058881883673584115,0.09988935948757388,0.16683290773664644,0.0014314797001212815,0.8403699236027342,2487
IBM,1.04,0.05536191253085541,0.09992702978417914,0.15959544290272382,0.001147438250084061,0.8476075593084037,2487
IBM,1.05,0.05524163520697959,0.09995125222215158,0.16124386516828687,0.000877539226827292,0.8500201045436269,2487
IBM,1.06,0.05363579139354684,0.09997142639700302,0.15968640979712295,0.0006389027063097328,0.8512263771612384,2487
IBM,1.07,0.05112533878035741,0.09998527439809918,0.15550660638536656,0.00046063610985611585,0.8556493767591475,2487
IBM,1.08,0.05180206513526214,0.09998963609749534,0.15721913166309576,0.0003391775976911386,0.8528347406513872,2487
IBM,1.09,0.050177891860473806,0.09999433623149427,0.15471610234599575,0.00020643505412026278,0.8584640128669079,2487
